0;7;8;9;10;11;12;13;14;15;16;17;18;19;20;25;30;35;40;45;50;60;70;80;90;100;150;200;250;300
1;3,92;3,99;4,05;4,1;4,15;4,18;4,22;4,25;4,28;4,3;4,33;4,35;4,37;4,38;4,46;4,51;4,56;4,58;4,62;4,65;4,68;4,71;4,73;4,75;4,76;4,81;4,83;4,85;4,87
0,9;4,1;4,14;4,17;4,2;4,23;4,25;4,275;4,3;4,32;4,34;4,35;4,375;4,38;4,405;4,45;4,51;4,55;4,57;4,6;4,64;4,66;4,69;4,72;4,73;4,75;4,8;4,82;4,84;4,85
0,8;4,305;4,31;4,31;4,3;4,31;4,32;4,33;4,34;4,35;4,36;4,37;4,38;4,39;4,405;4,42;4,48;4,525;4,55;4,57;4,6;4,64;4,66;4,68;4,71;4,73;4,77;4,81;4,85;4,87
0,7;4,52;4,47;4,43;4,42;4,4;4,39;4,38;4,38;4,38;4,38;4,39;4,4;4,4;4,405;4,42;4,46;4,48;4,52;4,54;4,55;4,6;4,63;4,65;4,67;4,69;4,75;4,77;4,82;4,84
0,6;4,785;4,68;4,6;4,55;4,515;4,48;4,46;4,44;4,43;4,43;4,42;4,42;4,42;4,42;4,43;4,43;4,45;4,47;4,5;4,52;4,55;4,57;4,61;4,63;4,65;4,72;4,75;4,8;4,82
0,5;5,12;4,94;4,81;4,72;4,66;4,6;4,55;4,52;4,5;4,48;4,46;4,45;4,44;4,435;4,42;4,42;4,43;4,44;4,45;4,47;4,5;4,54;4,55;4,57;4,6;4,67;4,72;4,77;4,8
0,4;5,53;5,26;5,07;4,93;4,83;4,75;4,68;4,63;4,59;4,55;4,53;4,505;4,48;4,465;4,42;4,41;4,41;4,415;4,42;4,43;4,45;4,48;4,51;4,53;4,55;4,64;4,68;4,74;4,77
0,3;6;5,68;5,4;5,2;5,05;4,94;4,83;4,77;4,71;4,65;4,62;4,58;4,55;4,53;4,45;4,41;4,39;4,38;4,38;4,39;4,42;4,44;4,45;4,47;4,5;4,58;4,64;4,71;4,74
0,2;6;6;5,8;5,54;5,32;5,17;5,04;4,94;4,85;4,79;4,73;4,68;4,64;4,61;4,48;4,42;4,39;4,38;4,36;4,37;4,37;4,39;4,41;4,44;4,45;4,54;4,59;4,67;4,71
0,1;6;6;6;5,97;5,68;5,47;5,3;5,17;5,05;4,96;4,88;4,82;4,76;4,71;4,55;4,45;4,4;4,38;4,36;4,36;4,35;4,35;4,37;4,38;4,4;4,48;4,54;4,65;4,67
0;6;6;6;6;6;5,84;5,61;5,44;5,3;5,17;5,07;4,99;4,91;4,85;4,63;4,5;4,43;4,38;4,36;4,34;4,33;4,33;4,34;4,35;4,36;4,43;4,5;4,58;4,65
-0,1;6;6;6;6;6;6;6;5,78;5,59;5,43;5,3;5,2;5,1;5,01;4,73;4,57;4,46;4,41;4,36;4,34;4,31;4,3;4,3;4,31;4,32;4,4;4,46;4,57;4,64
-0,2;6;6;6;6;6;6;6;6;5,95;5,75;5,6;5,44;5,32;5,22;4,86;4,65;4,53;4,45;4,38;4,35;4,3;4,27;4,28;4,28;4,29;4,35;4,42;4,52;4,58
-0,3;6;6;6;6;6;6;6;6;6;6;5,93;5,75;5,6;5,48;5,02;4,76;4,6;4,49;4,42;4,36;4,3;4,27;4,26;4,26;4,265;4,32;4,37;4,48;4,55
-0,4;6;6;6;6;6;6;6;6;6;6;6;6;5,94;5,78;5,2;4,9;4,7;4,56;4,47;4,4;4,3;4,28;4,25;4,25;4,25;4,28;4,34;4,44;4,5
-0,5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5,43;5,05;4,81;4,65;4,53;4,44;4,34;4,28;4,25;4,25;4,24;4,25;4,3;4,4;4,47
-0,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5,75;5,23;4,94;4,75;4,6;4,5;4,37;4,3;4,25;4,25;4,22;4,23;4,26;4,35;4,42
-0,7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5,46;5,1;4,86;4,7;4,58;4,42;4,32;4,25;4,25;4,21;4,2;4,24;4,34;4,4
-0,8;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5,75;5,3;5;4,8;4,67;4,46;4,35;4,28;4,24;4,2;4,18;4,21;4,3;4,38
